ProductID,ProductName,Formulation,Dosage,Strength,RegulatoryStatus
PROD-101,Alertex,Tablet,10mg,High,Approved
PROD-102,Bevaciz,Injection,25mg/mL,Standard,Pending
PROD-103,Cephalon,Capsule,500mg,Maximum,Approved
PROD-104,Dermacore,Ointment,2%,Standard,Approved
PROD-105,Eltrox,Solution,100mcg,Low,Withdrawn
PROD-106,Flunase,Inhaler,50mcg,Standard,Approved
PROD-107,Glucopage,Tablet,850mg,High,Approved
PROD-108,Hemofill,Injection,500IU,Standard,Pending
PROD-109,Ibupro,Tablet,400mg,Standard,Approved
PROD-110,Jantov,Tablet,5mg,Low,Approved
PROD-111,Kevzara,Injection,150mg,High,Approved
PROD-112,Lantus,Injection,100U/mL,Standard,Approved
PROD-113,Metform,Tablet,1000mg,Maximum,Approved
PROD-114,Nexium,Capsule,40mg,Standard,Approved
PROD-115,Oxycon,Tablet,20mg,High,Approved
PROD-116,Predni,Tablet,5mg,Low,Approved
PROD-117,Quetiap,Tablet,100mg,Standard,Approved
PROD-118,Rivotril,Drops,2.5mg/mL,Standard,Approved
PROD-119,Singul,Tablet,10mg,Standard,Approved
PROD-120,Tramad,Capsule,50mg,Standard,Approved
PROD-121,Ultram,Tablet,100mg,High,Approved
PROD-122,Ventol,Inhaler,100mcg,Standard,Approved
PROD-123,Warfar,Tablet,2mg,Low,Pending
PROD-124,Xanax,Tablet,0.5mg,Low,Approved
PROD-125,Zoloft,Tablet,50mg,Standard,Approved
PROD-126,Amoxic,Capsule,250mg,Standard,Approved
PROD-127,Brufen,Syrup,100mg/5mL,Standard,Approved
PROD-128,Crestor,Tablet,10mg,Standard,Approved
PROD-129,Diovan,Tablet,160mg,High,Approved
PROD-130,Ezetrol,Tablet,10mg,Standard,Approved
PROD-131,Fosamax,Tablet,70mg,High,Approved
PROD-132,Gaviscon,Liquid,500mg,Standard,Approved
PROD-133,Humalog,Injection,100U/mL,Standard,Approved
PROD-134,Imodium,Capsule,2mg,Low,Approved
PROD-135,Januvia,Tablet,100mg,Standard,Approved
PROD-136,Klaric,Tablet,500mg,High,Approved
PROD-137,Lipitor,Tablet,20mg,Standard,Approved
PROD-138,Motilium,Tablet,10mg,Standard,Approved
PROD-139,Norvasc,Tablet,5mg,Low,Approved
PROD-140,Omepraz,Capsule,20mg,Standard,Approved
PROD-141,Plavix,Tablet,75mg,Standard,Approved
PROD-142,Questran,Powder,4g,Standard,Approved
PROD-143,Ranitid,Tablet,150mg,Standard,Withdrawn
PROD-144,Serevent,Inhaler,50mcg,Standard,Approved
PROD-145,Thyrox,Tablet,50mcg,Low,Approved
PROD-146,Ursofalk,Capsule,250mg,Standard,Approved
PROD-147,Valium,Tablet,5mg,Low,Approved
PROD-148,Wellbut,Tablet,150mg,High,Approved
PROD-149,Xarelto,Tablet,20mg,High,Approved
PROD-150,Zantac,Syrup,150mg,Standard,Withdrawn
